ID,Nome da receita,Pais,Imagem,Ingrediente01,quantidadeIngrediente01,Ingrediente02,quantidadeIngrediente02,Ingrediente03,quantidadeIngrediente03,Ingrediente04,quantidadeIngrediente04,Ingrediente05,quantidadeIngrediente05,Modo de preparo,Descrição
inglaterra-pao-de-minuto,Pão de minuto,Inglaterra,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/G/F/ttETH6R3i6eqLAKL5axw/pao-de-minuto1.jpg,Leite,3,Manteiga,3,Açúcar,2,Farinha de trigo,1,,,,"O Pão de minuto é uma receita de pão doce de origem inglesa, também conhecida como Scones. Com uma massa levemente adocicada, de textura fora e areada, é muito comum nos populares chás da tarde ingleses. E como diz no nome da receita, seu preparo leva minutos."
iraque-maqluba,Maqluba,Iraque,https://s2-receitas.glbimg.com/zxy0oZUo0bcAjr4I0KGEHX3ZsL4=/0x0:1500x1000/1360x0/smart/filters:strip_icc()/s2.glbimg.com/SO50QU_pNW71KBT-iO5IxQ13HZE%3D/s.glbimg.com/et/gs/f/original/2017/03/10/maqluba-ok.jpg,Arroz,3,Carne,3,Cebola,2,Água,2,,,,"O arroz virado do Brasil, nos países do Oriente Médio, como o Iraque, é chamado de Maqluba. Consiste em uma refeição preparadas em camadas, em que os ingredientes são cozinhandos em uma mesma panela. Levando algum tipo de carne, arroz e legumes, o diferencial do Maqluba está na forma em que ele é servido: virando tudo de uma vez em uma travessa."
japao-arroz-frito,Arroz frito com lombo e teriyaki,Japão,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/y/2/xBAN5WRnWXfgawpwDrug/selma-arroz-frito.jpg,Arroz,4,Carne,3,Ovo,2,Shoyu,2,,,,"O arroz frito é uma receita comum no Japão, muitas vezes utilizada para reaproveitar uma refeição. Combinado com legumes e ovos, necessita apenas de uma frigideira no seu preparo. Na sua finalização, cebolinha, shoyu e gergelim dão um toque especial. Para completar, fica ainda mais saboroso quando combinado lombo e molho teriaky."
jordania-homus,Homus,Jordânia,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/0/W/OyDfOOTu6bXjdkytl2Qw/capa-materias-site-2023-10-19t103500.711.png,Grão de bico,3,Alho,2,Azeite,1,Limão,1,,,,"A origem do Homus, que em árabe significa grão-de-bico, pertence a todo Oriente Médio. Por conta disso, a pasta também é tradição na Jordânia. Tendo o grão-de-bico como principal ingrediente, é perfeita para ser servida com pães e torradas como entrada em uma reunião de família ou amigos."
marrocos-cuscuz-marroquino,Cuscuz marroquino,Marrocos,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/E/4/X2WyJbSUypk3Mu6hq0Qg/cuscuz-marroquino.jpg,Cuscuz marroquino,3,Tomate,2,Cebola roxa,2,Damasco,1,,,,"O Cuscuz marroquino, também chamado de Couscous marroquino, é uma receita originária do norte da África, em países como Argélia, Tunísia e Marrocos. Simples de preparar e versátil, o prato pode ser adaptado de diferentes formas. Porém, a versão original conta com cebola roxa, tomate, damasco, amêndoas e hortelã no seu tempero."
noruega-lapskaus,Lapskaus de legumes,Noruega,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/Y/5/I1AeruT42njFjB4tiXPg/cozido-noruegues-de-legumes-com-cerveja-lapskaus.jpg,Batata,3,Cenoura,3,Cebola,2,Cerveja,1,,,,"Lapskaus é como se chama o apetitoso cozido norueguês que leva cerveja durante o seu preparo. Pode ser feito à base de carne bovina, suína, vegetais e raízes, como batata e cenoura. Na maioria dos casos, o prato é combinado com uma cerveja escura, que serve para criar um caldo denso e caramelizado."
nova-zelandia-torta-bacon-ovos,Torta de bacon com ovo,Nova Zelândia,https://s2-receitas.glbimg.com/IutorXt5CPZHUVgXAFb5LD35KUU=/0x0:620x385/1000x0/smart/filters:strip_icc()/g.glbimg.com/og/gs/gsat5/f/thumbs/materia/2015/08/13/PAUL-HOLLYWOOD-14-620.jpg,Farinha,3,Ovo,3,Bacon,2,Manteiga,2,,,,"As tortas são verdadeiros sucessos na Nova Zelândia. Mas, ao contrário do Brasil, em que as doces costumam reinar, os neozelandeses preferem as salgadas, principalmente as que possuem uma massa folheada e um recheio cremoso. Ideais para qualquer tipo de refeição, na maioria das vezes são servidas em porções individuais."
panama-caraminola,Caramiñola,Panamá,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/3/p/COD19CSji4b7EFjAYxEw/panama-227-of-75-.jpg,Aipim,3,Carne,2,Tomate,2,Cebola,1,,,,"Caramiñola é uma tradicional receita do Panamá, perfeita para ser servida como aperitivo. Trata-se de um bolinho de aipim que pode levar diferentes recheios, como carne moída, frango desfiado ou queijo. O diferencial dessa receita está na casquinha dourada e crocante que se forma depois de frita."
paraguai-sopa-paraguaia,Sopa paraguaia,Paraguai,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/Q/K/uz8ncrTJmATaxA7qAHDw/paraguai-135-of-172-.jpg,Milho,3,Manteiga,2,Queijo,2,Leite,2,,,,"Apesar do nome, a Sopa paraguaia é, na verdade, uma torta de milho com cebola, ovos e queijo. O prato faz parte da culinária pantaneira e surgiu durante a Guerra do Paraguai, quando soldados levavam a sopa líquida na bagagem, que sempre derramava. Com isso, resolveram acrescentar farinha de milho para mudar a textura do prato."
portugal-pastel-de-belem,Pastel de belém,Portugal,https://s2-receitas.glbimg.com/VlBUzxIl5yO9-p1H6A1BRjcSZcE=/0x0:1080x608/1360x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2022/J/f/jelUvbTA6u7oNTzcvuTw/design-sem-nome-29-.png,Leite,3,Creme de leite,3,Açúcar,2,Gema de ovo,2,,,,"O pastel de nata, também conhecido como pastel de Belém, é um doce típico da gastronomia portuguesa. O seu sabor incomparável faz com que ele seja querido em diferentes culinárias ao redor do mundo. O diferencial da receita está na sua massa folhada e na cremosidade do seu recheio."
,,RD do Congo,,,,,,,,,,,,,
coreia-frango-frito,Frango frito,República da Coreia,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/M/w/nzSf1STxGBWwBjZgqOaw/frango-frito-coreano-arthur-paek.jpg,Frango,3,Farinha de trigo,2,Ovo,2,Amido de batata,2,,,,"O Frango frito se tornou popular na Coreia no final do século 19, em um cenário pós-guerra onde a escassez de carne bovina e de peixe era grande. Com isso, o frango, assim como a carne suína, se tornou um dos principais ingredientes da região. Porém, o diferencial dessa receita está na técnica de fritura dupla e na sua casquinha empanada, à base de milho ou batata."
,,RI Irã,,,,,,,,,,,,,
senegal-thieboudienne,Thieboudienne,Senegal,https://receitas.globo.com/dietas/saudavel/c-copa-do-mundo-receitas-de-catar-holanda-senegal-e-equador.ghtml,Arroz,3,Peixe,2,Tomate,2,Cebola,1,,,,"O Thieboudienne é um prato bastante popular no Senegal. E quando traduzido da língua wolof, significa ""arroz com peixe"". A receita consiste em peixe fresco, seco ou defumado, cozido lentamente com arroz, tomate e uma outra variedade de vegetais. E, no geral, todo o preparo é feito em uma única panela. Com isso, o arroz absorve todo o caldo dos ingredientes e adquiri uma cor avermelhada."
suecia-batata-hasselback,Batata hasselback,Suécia,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/I/A/AQ2RyARB2yWc736TH3Pw/batata-hasselback-receita.jpg,Batata,4,Manteiga,3,Alho,2,Alecrim,1,,,,"A batata sueca, conhecida popularmente como Batata Hasselback, é conhecida pelo seu corte em finas fatias sem desmanchá-la totalmente. Em uma receita mais simples e rápida, as batatas são colocadas pra assar com manteiga, azeite e alho. A intenção é que elas fiquem crocantes por fora e macias por dentro. No entanto, a receita pode ser incrementada com molhos e servirem de acompanhamento para outros pratos, como carnes."
suica-fondue-de-queijo,Fondue de queijo,Suíça,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/V/S/xe4qqfREueLN8hljaqQg/fondue-de-queijo-facil.jpg,Creme de leite,3,Queijo,3,Sal,2,requeijão,1,,,,"Clássico do inverno, o fondue de queijo tem origem na culinária da Suíça. Simples e fácil de preparar, a receita é feita com creme de leite, requeijão, queijo muçarela, provolone e gorgonzola. Pães, torradas e legumes são opções para acompanhar o prato na sua versão salgada."
,,Tchéquia,,,,,,,,,,,,,
tunisia-salada-tunisiana,Salada tunísiana com cuscuz marroquino,Tunísia,https://s2-receitas.glbimg.com/uym_iTl30Pq4dSeYX0OMsVOw3-g=/0x0:620x385/1000x0/smart/filters:strip_icc()/g.glbimg.com/og/gs/gsat5/f/thumbs/materia/2015/05/07/Salada_Tunisiana.jpg,Alface,3,Amêndoa,2,Pimentão,2,Sal,1,,,,"A salada tunisiana é bastante comum no norte do continente africano por ser um prato refrescante. Levando uma combinação de folhas verdes, amêndoas torradas e alguns vegetais frescos, como o pimentão, picados de maneira bem fina, o resultado é um prato leve e colorido. "
turquia-frango-com-nozes,Frango com nozes,Turquia,,Frango,3,Nozes,3,Pão,2,Alho,1,,,,"O Cerkez Tavugu, ou Frango com nozes, é um prato que se popularizou na Turquia ainda no século XIX e atualmente é consumido no país inteiro. Podendo ser consumido como uma refeição ou aperitivo, trata-se de frango desfiado envolto em um molho de nozes."
uruguai-bife-contrafilé-molho-chimichurri,Bife de contrafilé ao molho de chimichurri,Uruguai,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/v/6/ZjNIFmSh2iyZDiJQbXMw/churrasco-uruguaio.jpg,Carne,3,Chimichurri,2,Sal,1,Pimenta,1,,,,"O churrasco uruguaio é um clássico do país latino-americano. Famoso por suas carnes, o uso do chimichurri para acompanhá-las também é bastante comum no país. Além disso, no Uruguai são comuns dois tipos de cortes: a costela, conhecida como assado de tira, e o bife parrillero, um bife de chorizo."
,,Uzbequistão,,,,,,,,,,,,,
